Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Going To A Go-Go ,1981,1982,Still Life,Virgin,Live,6,201,Smokey Robinson/Pete Moore/Bobby Rogers/Marvin Tarplin,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,48th,25th,No,3rd,No,9th,4th,No,No
Gomper,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,8,308,Jagger/Richards,Jagger,0.774,0.366,0.514,0.607,0.165,-12.395,0.0377,134.402,0.241,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Good Times,1965,1965,Out of Our Heads,ABKCO Records,Studio,5,119,Sam Cooke,Jagger,0.0736,0.663,0.551,0.00136,0.207,-10.317,0.0391,126.251,0.748,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Good Times, Bad Times",1964,1964,12 X 5,ABKCO Records,Studio,5,151,Jagger/Richards,Jagger,0.0672,0.677,0.512,0.00691,0.0945,-9.561,0.0286,98.888,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gotta Get Away,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,10,127,Jagger/Richards,Jagger,0.0693,0.666,0.55,0.574,0.142,-8.296,0.0326,112.947,0.699,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Grown Up Wrong,1964,1964,The Rolling Stones No.2,Decca,Studio,6,110,Jagger/Richards,Jagger,0.137,0.528,0.545,3.59e-05,0.283,-9.329,0.0412,160.194,0.315,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gunface,1997,1997,Bridges to Babylon,Virgin,Studio,5,302,Jagger/Richards,Jagger,0.000932,0.491,0.905,0.000253,0.0578,-4.511,0.0571,98.459,0.618,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Had It With You,1985,1986,Dirty Work,Virgin,Studio,9,200,Jagger/Richards/Wood,Jagger,0.381,0.532,0.987,0.576,0.0655,-2.799,0.229,169.122,0.416,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hand Of Fate,1974,1975,Black and Blue,Virgin,Studio,2,268,Jagger/Richards,Jagger,0.0698,0.62,0.822,0.0752,0.249,-4.097,0.0276,116.069,0.712,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hang Fire,1981,1981,Tattoo You,Virgin,Studio,2,140,Jagger/Richards,Jagger,0.0299,0.461,0.906,0.0104,0.319,-4.369,0.0356,152.206,0.939,No,No,No,No,No,No,99th,20th,No,No,No,No,No,No,No
Happy,1971,1972,Exile on Main St.,Virgin,Studio,10,185,Jagger/Richards,Richards,0.0314,0.353,0.955,0.0014,0.952,-3.751,0.0568,143.025,0.685,No,No,No,No,14th,12th,No,22th,No,No,5th,No,9th,No,No
